,Marital status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Previous qualification (grade),Nationality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target,Total Units Enrolled,Total Units Approved,Approval Rate,Improvement in Grades,Economic Hardship,Total Units without Evaluations
10,1,1,1,9670,1,1,4.941642422609304,1,38,19,5,7,4.879767018891217,1,0,0,1,0,0,2.9444389791664403,0,0.0,1.9459101490553132,1.9459101490553132,1.9459101490553132,2.5902671654458267,0.0,0.0,1.9459101490553132,2.0794415416798357,1.791759469228055,2.7212954278522306,0.0,2.7013612129514133,-0.3566749439387324,0.5822156198526637,2,12,11,0.9166666666666666,1.8666666666666654,12.809999999999999,0
11,1,1,1,9500,1,1,4.919980925828125,1,19,38,9,9,4.789988622980633,1,0,0,1,0,1,2.9444389791664403,0,0.0,2.1972245773362196,2.1972245773362196,2.0794415416798357,2.654247495109234,0.0,0.0,2.1972245773362196,2.1972245773362196,2.0794415416798357,2.654247495109234,0.0,2.617395832834079,1.547562508716013,,2,16,14,0.875,0.0,18.099999999999998,0
12,1,1,2,9853,1,1,4.897839799950911,1,19,37,4,9,4.876722876509988,1,0,0,1,0,0,2.995732273553991,0,0.0,1.9459101490553132,1.9459101490553132,0.0,0.0,0.0,0.0,1.9459101490553132,0.0,0.0,0.0,0.0,2.617395832834079,1.547562508716013,,0,12,0,0.0,0.0,18.099999999999998,0
13,1,53,1,9254,1,42,4.709530201312334,1,1,1,4,7,4.725616339063959,1,0,0,1,0,1,3.091042453358316,0,0.0,1.9459101490553132,2.0794415416798357,1.9459101490553132,2.4485390056171252,0.0,0.0,1.9459101490553132,2.1972245773362196,1.791759469228055,2.4849066497880004,0.0,2.2925347571405443,0.8754687373538999,1.506297153514587,2,12,11,0.9166666666666666,0.4285714285714288,6.790000000000001,0
14,1,1,1,9085,1,1,5.0106352940962555,1,38,37,5,5,4.9279780604152466,1,0,0,1,0,1,2.9444389791664403,0,0.0,1.791759469228055,2.0794415416798357,1.6094379124341003,2.6567569067146595,0.0,0.0,1.791759469228055,1.791759469228055,1.791759469228055,2.5649493574615367,0.0,2.468099531471619,0.8754687373538999,1.007957920399979,2,10,9,0.9,-1.25,10.46,0
15,1,1,1,9773,1,1,4.852030263919617,1,19,37,9,3,4.801558999993482,1,0,0,1,0,0,3.044522437723423,0,0.0,1.9459101490553132,1.9459101490553132,1.791759469228055,2.653241964607215,0.0,0.0,1.9459101490553132,2.0794415416798357,0.0,0.0,0.0,2.803360380906535,1.33500106673234,,0,12,5,0.4166666666666667,-13.2,22.36,0
16,1,18,1,9238,1,1,4.927253685157205,1,19,38,5,8,4.93014804318357,1,0,0,1,0,0,2.9444389791664403,0,0.0,1.9459101490553132,2.3978952727983707,0.6931471805599453,2.5649493574615367,0.0,0.0,1.9459101490553132,2.70805020110221,1.0986122886681098,2.4849066497880004,0.0,2.468099531471619,0.8754687373538999,1.007957920399979,1,12,3,0.25,-1.0,10.46,0
17,1,17,2,9500,1,1,4.912654885736052,1,19,1,5,4,4.8543712716215905,1,0,0,1,0,0,2.9444389791664403,0,0.0,2.0794415416798357,2.1972245773362196,2.0794415416798357,2.66069650471874,0.0,0.0,2.1972245773362196,2.1972245773362196,2.1972245773362196,2.743739043510717,0.0,2.803360380906535,1.33500106673234,,2,15,15,1.0,1.2387499999999996,22.36,0
18,1,1,1,9130,1,1,4.927253685157205,1,3,19,3,5,4.922168312773925,1,0,0,1,0,0,3.044522437723423,0,0.0,1.791759469228055,2.1972245773362196,1.6094379124341003,2.6026896854443837,0.6931471805599453,0.0,1.791759469228055,2.1972245773362196,1.6094379124341003,2.583997552432231,1.0986122886681098,2.468099531471619,0.8754687373538999,1.007957920399979,2,10,8,0.8,-0.25,10.46,3
19,1,1,1,9853,1,1,4.948759890378168,1,19,19,7,7,4.833102254034098,1,0,0,1,0,0,2.9444389791664403,0,0.0,2.0794415416798357,2.0794415416798357,1.9459101490553132,2.538973871058276,0.0,0.0,2.0794415416798357,2.1972245773362196,1.9459101490553132,2.6741486494265287,0.0,2.8449093838194073,0.262364264467491,-2.525728644308256,1,14,12,0.8571428571428571,1.833333333333334,17.42,0
20,1,1,3,171,1,1,4.812184355372417,1,1,1,9,8,4.798266815950004,0,0,0,1,0,1,3.091042453358316,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4932054526026954,0.4700036292457356,1.1052568313867783,2,0,0,,0.0,9.68,0
21,1,18,4,9556,1,1,4.852030263919617,1,1,38,4,7,4.810557015713042,1,0,0,1,0,0,3.044522437723423,0,0.0,2.0794415416798357,2.70805020110221,2.0794415416798357,2.520716102484711,0.0,0.0,2.1972245773362196,2.302585092994046,2.1972245773362196,2.5197105719826927,0.0,2.617395832834079,1.547562508716013,,1,15,15,1.0,-0.01249999999999929,18.099999999999998,0
22,1,1,4,9500,1,1,4.962844630259907,1,19,19,1,1,4.840242308167575,1,0,0,1,0,0,2.9444389791664403,0,0.0,2.1972245773362196,2.5649493574615367,2.0794415416798357,2.6288008294480694,0.0,0.0,2.1972245773362196,2.5649493574615367,2.0794415416798357,2.6288008294480694,0.0,2.617395832834079,1.547562508716013,,2,16,14,0.875,0.0,18.099999999999998,0
23,1,1,4,9670,1,1,4.836281906951478,1,1,38,4,7,4.752727750345706,1,0,0,1,0,1,2.995732273553991,0,0.0,1.9459101490553132,2.1972245773362196,1.9459101490553132,2.665490586683414,0.0,0.0,1.9459101490553132,2.0794415416798357,1.9459101490553132,2.586689344097943,0.0,2.4932054526026954,0.4700036292457356,1.1052568313867783,2,12,12,1.0,-1.0892857142857135,9.68,0
24,1,1,1,9500,1,1,4.844187086458591,1,19,19,3,7,4.827513417131532,0,0,0,1,0,0,2.995732273553991,0,0.0,2.0794415416798357,2.1972245773362196,1.9459101490553132,2.6600264098606794,0.0,0.0,2.1972245773362196,2.302585092994046,2.0794415416798357,2.715640370368886,0.0,2.4932054526026954,0.4700036292457356,1.1052568313867783,2,15,13,0.8666666666666667,0.8176190476190452,9.68,0
25,1,1,1,9238,1,1,5.0238805208462765,1,19,38,9,9,5.062595033026967,1,0,1,1,0,1,2.9444389791664403,0,0.0,1.9459101490553132,2.1972245773362196,1.791759469228055,2.533696813957432,0.0,0.0,1.9459101490553132,2.5649493574615367,1.6094379124341003,2.4849066497880004,0.0,2.151762203259462,1.2809338454620642,0.2776317365982795,1,12,9,0.75,-0.5999999999999996,9.879999999999999,0
26,1,17,2,9238,1,1,4.7535901911063645,1,19,38,7,8,4.765586907393996,1,0,0,1,0,0,3.091042453358316,0,0.0,1.9459101490553132,2.302585092994046,1.9459101490553132,2.515678308454754,0.0,0.0,1.9459101490553132,2.302585092994046,1.9459101490553132,2.659260036932778,0.0,2.8449093838194073,0.262364264467491,-2.525728644308256,2,12,12,1.0,1.9107142857142865,17.42,0
27,1,1,1,9085,1,1,4.9344739331306915,1,19,19,3,3,4.882801922586371,1,0,0,1,0,0,2.9444389791664403,0,0.0,1.791759469228055,2.302585092994046,1.791759469228055,2.614959778036198,1.0986122886681098,0.0,1.791759469228055,2.0794415416798357,1.6094379124341003,2.6390573296152584,0.0,2.341805806147327,-1.6094379124341005,,1,10,9,0.9,0.3333333333333339,11.719999999999999,2
28,1,1,1,9147,1,1,4.912654885736052,1,19,1,9,9,4.812997033190408,1,0,0,1,0,0,3.044522437723423,0,0.0,1.791759469228055,1.9459101490553132,1.791759469228055,2.5649493574615367,0.0,0.0,1.791759469228055,1.9459101490553132,1.791759469228055,2.5902671654458267,0.0,2.8449093838194073,0.262364264467491,-2.525728644308256,2,10,10,1.0,0.3333333333333339,17.42,0
29,1,17,2,9500,1,1,4.852030263919617,1,3,3,1,10,4.785823685681349,1,0,0,1,1,0,2.995732273553991,0,0.0,2.0794415416798357,2.302585092994046,1.9459101490553132,2.634284050862601,0.0,0.0,2.0794415416798357,2.0794415416798357,1.9459101490553132,2.6889806383818593,0.0,2.8449093838194073,0.262364264467491,-2.525728644308256,1,14,12,0.8571428571428571,0.7833333333333368,17.42,0
30,1,44,1,9003,1,39,5.017279836814924,1,4,5,4,2,5.017279836814924,0,0,0,1,1,0,3.091042453358316,0,0.0,1.9459101490553132,2.772588722239781,1.791759469228055,2.553899521274952,0.0,0.0,1.9459101490553132,2.8903717578961645,1.791759469228055,2.4485390056171252,0.0,2.8449093838194073,0.262364264467491,-2.525728644308256,1,12,10,0.8333333333333334,-1.2857142857142865,17.42,0
31,1,51,1,9070,1,1,4.836281906951478,1,42,3,125,124,4.875197323201151,1,0,0,1,1,0,3.044522437723423,0,1.0986122886681098,1.9459101490553132,2.0794415416798357,1.9459101490553132,2.627081138568543,0.0,0.0,1.9459101490553132,2.302585092994046,1.6094379124341003,2.667228206581955,0.0,2.2925347571405443,0.8754687373538999,1.506297153514587,2,12,10,0.8333333333333334,0.5666666666666664,6.790000000000001,0
32,1,1,1,9147,1,1,4.969813299576001,1,1,1,4,6,4.94021282979971,0,0,0,0,1,0,2.9444389791664403,0,0.0,1.791759469228055,2.302585092994046,1.3862943611198906,2.512305623976115,0.0,0.0,1.791759469228055,2.1972245773362196,1.0986122886681098,2.6741486494265287,0.0,2.2925347571405443,0.8754687373538999,1.506297153514587,1,10,5,0.5,2.166666666666666,6.790000000000001,0
33,1,18,1,8014,0,1,4.9344739331306915,1,19,1,9,5,4.908971640319756,1,0,0,1,0,0,2.995732273553991,0,0.0,1.9459101490553132,1.9459101490553132,1.9459101490553132,2.614959778036198,0.0,0.0,1.9459101490553132,2.1972245773362196,1.9459101490553132,2.7327428136925818,0.0,2.5952547069568657,0.4054651081081644,1.0260415958332743,2,12,12,1.0,1.708333333333334,11.11,0
34,1,1,1,9991,0,1,4.875197323201151,1,2,37,3,9,4.885827643502908,0,0,0,1,1,0,3.5553480614894135,0,0.0,1.791759469228055,1.9459101490553132,1.791759469228055,2.5952547069568657,0.0,0.0,1.791759469228055,2.302585092994046,1.791759469228055,2.6692103677859462,0.0,2.7013612129514133,-0.3566749439387324,0.5822156198526637,2,10,10,1.0,1.0285714285714285,12.809999999999999,0
35,1,39,1,33,1,1,4.875197323201151,1,38,37,9,6,4.639571612705423,0,0,1,0,1,0,3.6375861597263857,0,0.0,2.0794415416798357,2.0794415416798357,0.0,0.0,0.0,0.0,2.0794415416798357,2.0794415416798357,0.6931471805599453,2.3978952727983707,0.0,2.2925347571405443,0.8754687373538999,1.506297153514587,0,14,1,0.07142857142857142,10.0,6.790000000000001,0
36,1,39,1,9119,1,10,4.898585790287632,1,34,37,0,0,4.86599480426999,1,0,0,1,1,0,3.784189633918261,0,0.0,1.791759469228055,0.0,0.0,0.0,0.0,0.0,1.791759469228055,0.0,0.0,0.0,0.0,2.151762203259462,1.2809338454620642,0.2776317365982795,0,10,0,0.0,0.0,9.879999999999999,0
37,1,43,1,9147,1,1,4.948759890378168,1,37,37,6,6,4.819474788635096,0,0,0,1,0,0,4.02535169073515,0,0.0,1.791759469228055,2.3978952727983707,0.6931471805599453,2.3978952727983707,0.0,0.0,1.791759469228055,2.1972245773362196,1.0986122886681098,2.5649493574615367,1.0986122886681098,2.8449093838194073,0.262364264467491,-2.525728644308256,0,10,3,0.3,2.0,17.42,2
38,4,39,1,9991,0,1,4.795790545596741,1,19,19,9,3,4.74406218485471,1,0,0,1,0,0,3.6888794541139363,0,0.0,1.791759469228055,2.1972245773362196,1.791759469228055,2.4849066497880004,0.0,0.0,1.791759469228055,1.791759469228055,1.791759469228055,2.533696813957432,0.0,2.151762203259462,1.2809338454620642,0.2776317365982795,2,10,10,1.0,0.5999999999999996,9.879999999999999,0
39,1,44,1,9130,1,39,4.795790545596741,6,4,4,3,6,4.795790545596741,0,0,1,0,0,0,3.044522437723423,1,1.0986122886681098,1.9459101490553132,2.6390573296152584,1.3862943611198906,2.538973871058276,0.0,0.6931471805599453,1.9459101490553132,2.4849066497880004,1.3862943611198906,2.5649493574615367,0.0,2.5952547069568657,0.4054651081081644,1.0260415958332743,0,12,6,0.5,0.3333333333333339,11.11,0
40,1,1,5,9773,1,1,4.844187086458591,1,3,3,2,2,4.804840381116659,0,0,1,1,0,0,2.9444389791664403,0,0.0,1.9459101490553132,1.9459101490553132,1.6094379124341003,2.6210388241125804,0.0,0.0,1.791759469228055,1.791759469228055,0.0,0.0,0.0,2.617395832834079,1.547562508716013,,0,11,4,0.36363636363636365,-12.75,18.099999999999998,0
41,1,1,2,9147,1,1,4.897839799950911,1,3,19,2,7,4.799090878625398,1,0,0,1,0,0,3.1354942159291497,0,0.0,1.791759469228055,1.791759469228055,1.791759469228055,2.760009940032921,0.0,0.0,1.791759469228055,1.791759469228055,1.791759469228055,2.8213788864092133,0.0,2.2925347571405443,0.8754687373538999,1.506297153514587,2,10,10,1.0,1.0,6.790000000000001,0
42,1,1,6,9500,1,1,4.6443908991413725,1,1,3,2,2,4.6210435351443815,1,1,0,1,0,0,3.1354942159291497,0,0.0,2.0794415416798357,2.302585092994046,1.791759469228055,2.7032386441049883,0.0,0.0,2.1972245773362196,2.302585092994046,2.0794415416798357,2.730650033019451,0.0,2.4932054526026954,0.4700036292457356,1.1052568313867783,2,15,12,0.8,0.4148571428571408,9.68,0
43,1,17,1,9773,1,1,4.795790545596741,1,1,38,5,5,4.807294370078226,0,0,0,0,0,0,3.044522437723423,0,0.0,1.9459101490553132,2.0794415416798357,1.6094379124341003,2.6390573296152584,0.0,0.0,1.9459101490553132,2.0794415416798357,1.791759469228055,2.6946271807700692,0.0,2.5952547069568657,0.4054651081081644,1.0260415958332743,0,12,9,0.75,0.8000000000000007,11.11,0
44,1,39,1,9991,0,1,4.898585790287632,1,37,37,9,9,4.706823839714591,0,0,0,1,0,0,3.4011973816621555,0,0.0,1.791759469228055,0.0,0.0,0.0,0.0,0.0,1.791759469228055,0.0,0.0,0.0,0.0,2.8449093838194073,0.262364264467491,-2.525728644308256,0,10,0,0.0,0.0,17.42,0
45,1,17,1,9991,0,1,5.043425116919247,1,38,38,4,5,4.906015244966153,0,0,0,1,0,0,3.2188758248682006,0,0.0,1.791759469228055,2.302585092994046,1.0986122886681098,2.5257286443082556,0.0,0.0,1.791759469228055,2.4849066497880004,1.3862943611198906,2.7300291078209855,0.6931471805599453,2.151762203259462,1.2809338454620642,0.2776317365982795,1,10,5,0.5,2.833333333333334,9.879999999999999,1
46,1,17,2,9238,1,1,4.875197323201151,1,19,19,9,9,4.856706811803519,1,0,0,1,0,0,2.9444389791664403,0,0.0,1.9459101490553132,1.9459101490553132,1.9459101490553132,2.538973871058276,0.0,0.0,1.9459101490553132,2.1972245773362196,1.791759469228055,2.653241964607215,0.0,2.4932054526026954,0.4700036292457356,1.1052568313867783,2,12,11,0.9166666666666666,1.5333333333333332,9.68,0
47,1,17,6,9500,1,1,4.890349128221754,1,37,19,7,7,4.893352133481524,1,0,0,1,0,1,3.1354942159291497,0,0.0,2.0794415416798357,2.1972245773362196,1.9459101490553132,2.675297414630402,0.0,0.0,2.1972245773362196,2.302585092994046,2.0794415416798357,2.6926948130190156,0.0,2.4932054526026954,0.4700036292457356,1.1052568313867783,2,15,13,0.8666666666666667,0.2547619047619065,9.68,0
48,1,44,1,8014,0,39,4.875197323201151,1,1,19,9,9,4.900820428089049,0,0,0,1,0,1,3.091042453358316,0,1.3862943611198906,1.9459101490553132,1.9459101490553132,1.9459101490553132,2.5257286443082556,0.0,1.0986122886681098,1.9459101490553132,2.0794415416798357,1.9459101490553132,2.659260036932778,0.0,2.5952547069568657,0.4054651081081644,1.0260415958332743,2,12,12,1.0,1.7857142857142865,11.11,0
49,1,1,1,9238,1,1,4.941642422609304,1,37,38,9,9,4.844974178195408,0,0,0,1,0,1,2.995732273553991,0,0.0,1.9459101490553132,2.0794415416798357,1.791759469228055,2.5902671654458267,0.0,0.0,1.9459101490553132,2.0794415416798357,1.9459101490553132,2.627081138568543,0.0,2.617395832834079,1.547562508716013,,2,12,11,0.9166666666666666,0.5,18.099999999999998,0
50,1,39,1,9254,1,1,4.875197323201151,1,19,38,9,7,4.740574822994295,0,0,0,1,0,1,3.2188758248682006,0,0.0,1.9459101490553132,1.9459101490553132,1.9459101490553132,2.6855773452501515,0.0,0.0,1.9459101490553132,1.9459101490553132,1.9459101490553132,2.719100037288795,0.0,2.5952547069568657,0.4054651081081644,1.0260415958332743,2,12,12,1.0,0.5,11.11,0
51,1,1,1,9500,1,1,4.941642422609304,1,37,38,6,6,4.8064770426931265,1,0,0,1,0,1,2.995732273553991,0,0.0,2.1972245773362196,2.3978952727983707,1.9459101490553132,2.5520459526256287,0.0,0.0,2.1972245773362196,2.3978952727983707,1.9459101490553132,2.5520459526256287,0.0,2.341805806147327,-1.6094379124341005,,1,16,12,0.75,0.0,11.719999999999999,0
52,1,1,1,9773,1,1,4.852030263919617,1,1,19,7,7,4.810557015713042,1,0,0,1,0,1,3.044522437723423,0,0.0,1.9459101490553132,2.4849066497880004,1.6094379124341003,2.70805020110221,0.0,0.0,1.9459101490553132,2.5649493574615367,1.3862943611198906,2.4849066497880004,0.0,2.341805806147327,-1.6094379124341005,,1,12,7,0.5833333333333334,-3.0,11.719999999999999,0
53,1,1,3,9130,1,1,5.123963979403259,1,37,37,90,90,5.0770470596155075,0,0,0,1,0,0,2.995732273553991,0,0.0,1.791759469228055,2.0794415416798357,1.791759469228055,2.7545702167371027,0.0,0.0,1.791759469228055,1.791759469228055,1.791759469228055,2.8213788864092133,0.0,2.151762203259462,1.2809338454620642,0.2776317365982795,2,10,10,1.0,1.0857142857142872,9.879999999999999,0
54,1,39,1,9991,0,1,4.875197323201151,1,38,38,9,9,4.795790545596741,0,0,0,1,0,0,3.332204510175204,0,0.0,1.791759469228055,2.5649493574615367,1.791759469228055,2.451005098112319,0.0,0.0,1.791759469228055,2.3978952727983707,1.791759469228055,2.4849066497880004,0.0,2.341805806147327,-1.6094379124341005,,0,10,10,1.0,0.40000000000000036,11.719999999999999,0
55,1,1,1,9500,1,1,4.875197323201151,1,1,19,5,5,4.86830338551846,1,0,0,1,0,0,2.9444389791664403,0,0.0,2.0794415416798357,2.302585092994046,2.0794415416798357,2.6422269043765376,0.0,0.0,2.1972245773362196,2.3978952727983707,2.1972245773362196,2.680679004306078,0.0,2.803360380906535,1.33500106673234,,2,15,15,1.0,0.5505555555555564,22.36,0
56,2,7,1,9254,1,3,4.875197323201151,1,1,3,4,3,4.875197323201151,0,0,0,1,0,0,3.6888794541139363,0,0.0,1.9459101490553132,2.3978952727983707,0.0,0.0,0.0,0.0,1.9459101490553132,1.9459101490553132,0.0,0.0,0.0,2.5952547069568657,0.4054651081081644,1.0260415958332743,0,12,0,0.0,0.0,11.11,0
57,1,39,1,9130,1,40,4.867534450455582,1,3,3,2,2,5.051777237427431,1,0,0,1,0,0,3.332204510175204,0,0.0,1.9459101490553132,2.302585092994046,1.791759469228055,2.6390573296152584,0.0,1.791759469228055,2.4849066497880004,2.6390573296152584,2.3978952727983707,2.631888840136646,0.0,2.5952547069568657,0.4054651081081644,1.0260415958332743,0,17,15,0.8823529411764706,-0.09999999999999964,11.11,0
58,1,17,1,9500,1,1,4.955827057601261,1,38,38,7,10,4.9473404437239425,1,0,0,1,0,0,2.9444389791664403,0,0.0,2.1972245773362196,2.1972245773362196,2.1972245773362196,2.7685179478692996,0.0,0.0,2.1972245773362196,2.1972245773362196,2.1972245773362196,2.7685179478692996,0.0,2.341805806147327,-1.6094379124341005,,2,16,16,1.0,0.0,11.719999999999999,0
59,1,1,3,171,1,1,4.836281906951478,1,38,37,4,9,4.755312844417811,1,0,0,1,0,0,2.9444389791664403,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.151762203259462,1.2809338454620642,0.2776317365982795,1,0,0,,0.0,9.879999999999999,0
60,1,1,2,9500,1,1,4.836281906951478,1,19,19,9,9,4.752727750345706,0,0,0,1,0,0,2.9444389791664403,0,0.0,2.0794415416798357,2.1972245773362196,1.9459101490553132,2.6485360735698023,0.0,0.0,2.1972245773362196,2.5649493574615367,2.0794415416798357,2.5818388899641933,0.0,2.8449093838194073,0.262364264467491,-2.525728644308256,2,15,13,0.8666666666666667,-0.9119047619047613,17.42,0
61,1,44,1,9238,1,39,4.875197323201151,1,19,1,9,9,4.8895969657192,0,0,0,1,0,1,3.091042453358316,0,1.3862943611198906,1.9459101490553132,2.0794415416798357,1.9459101490553132,2.5649493574615367,0.0,1.0986122886681098,1.9459101490553132,2.0794415416798357,1.9459101490553132,2.5649493574615367,0.0,2.7013612129514133,-0.3566749439387324,0.5822156198526637,2,12,12,1.0,0.0,12.809999999999999,0
62,1,17,3,171,1,1,4.897839799950911,1,1,37,4,7,4.844187086458591,1,0,0,1,1,1,2.995732273553991,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.468099531471619,0.8754687373538999,1.007957920399979,1,0,0,,0.0,10.46,0
63,1,17,1,9070,1,1,4.852030263919617,1,1,1,3,4,4.876722876509988,1,0,0,1,1,0,2.995732273553991,0,0.0,1.9459101490553132,1.9459101490553132,1.791759469228055,2.517696472610991,0.0,0.0,1.9459101490553132,2.1972245773362196,0.6931471805599453,2.3978952727983707,0.0,2.468099531471619,0.8754687373538999,1.007957920399979,1,12,6,0.5,-1.4000000000000004,10.46,0
64,1,43,1,9070,1,1,4.762173934797756,1,1,1,3,3,4.803201036487226,0,0,0,1,1,0,3.2188758248682006,0,0.0,1.9459101490553132,1.9459101490553132,0.0,0.0,0.0,0.0,1.9459101490553132,1.9459101490553132,0.0,0.0,0.0,2.617395832834079,1.547562508716013,,1,12,0,0.0,0.0,18.099999999999998,0
65,4,42,1,9500,1,19,4.898585790287632,1,1,1,5,5,4.844187086458591,1,0,0,1,1,0,3.4011973816621555,0,1.0986122886681098,2.0794415416798357,2.3978952727983707,1.791759469228055,2.5572273113676265,0.0,0.6931471805599453,2.1972245773362196,2.3978952727983707,1.791759469228055,2.4849066497880004,0.0,2.7013612129514133,-0.3566749439387324,0.5822156198526637,0,15,10,0.6666666666666666,-0.9000000000000004,12.809999999999999,0
66,1,1,3,171,1,1,4.941642422609304,1,19,19,5,3,4.861361591348501,1,0,0,1,1,1,2.995732273553991,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.468099531471619,0.8754687373538999,1.007957920399979,2,0,0,,0.0,10.46,0
